Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,bf,tw,tf,bf/2tf,h/tw,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1
W,W27X217,W27X217,F,217,63.9,28.4,14.1,0.83,1.5,4.71,28.7,2.29,8910,711,627,11.8,704,154,100,3.32,37.6,128000,94.8,501
W,W27X194,W27X194,F,194,57.1,28.1,14,0.75,1.34,5.24,31.8,2.13,7860,631,559,11.7,619,136,88.1,3.29,27.1,111000,93.7,439
W,W27X178,W27X178,F,178,52.5,27.8,14.1,0.725,1.19,5.92,32.9,1.98,7020,570,505,11.6,555,122,78.8,3.25,20.1,98400,93.8,393
W,W27X161,W27X161,F,161,47.6,27.6,14,0.66,1.08,6.49,36.1,1.87,6310,515,458,11.5,497,109,70.9,3.23,15.1,87300,92.8,351
W,W27X146,W27X146,F,146,43.2,27.4,14,0.605,0.975,7.16,39.4,1.76,5660,464,414,11.5,443,97.7,63.5,3.2,11.3,77200,92.5,316
W,W27X129,W27X129,F,129,37.8,27.6,10,0.61,1.1,4.55,39.7,1.7,4760,395,345,11.2,184,57.6,36.8,2.21,11.1,32500,66.3,182
W,W27X114,W27X114,F,114,33.6,27.3,10.1,0.57,0.93,5.41,42.5,1.53,4080,343,299,11,159,49.3,31.5,2.18,7.33,27600,66.6,156
W,W27X102,W27X102,F,102,30,27.1,10,0.515,0.83,6.03,47.1,1.43,3620,305,267,11,139,43.4,27.8,2.15,5.28,24000,65.7,136
W,W27X94,W27X94,F,94,27.6,26.9,10,0.49,0.745,6.7,49.5,1.34,3270,278,243,10.9,124,38.8,24.8,2.12,4.03,21300,65.4,122
W,W27X84,W27X84,F,84,24.7,26.7,10,0.46,0.64,7.78,52.7,1.24,2850,244,213,10.7,106,33.2,21.2,2.07,2.81,17900,65.2,104
W,W24X370,W24X370,T,370,109,28,13.7,1.52,2.72,2.51,14.2,3.22,13400,1130,957,11.1,1160,267,170,3.27,201,186000,86.6,807
